Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Page_1 new message - Temp Mail/Mail open""))",Chrome 108.0.0.0,,,2022-12-03 16:13:51,2022-12-03 16:13:53,2.538s,PASSED
"otp1 = getText(findTestObject(""Object Repository/Page_Verify your account - Temp Mail/otp1""))",Chrome 108.0.0.0,,,2022-12-03 16:13:53,2022-12-03 16:13:56,2.347s,PASSED
"otp2 = getText(findTestObject(""Object Repository/Page_Verify your account - Temp Mail/otp2""))",Chrome 108.0.0.0,,,2022-12-03 16:13:56,2022-12-03 16:13:58,2.566s,PASSED
"otp3 = getText(findTestObject(""Object Repository/Page_Verify your account - Temp Mail/otp3""))",Chrome 108.0.0.0,,,2022-12-03 16:13:58,2022-12-03 16:14:01,2.419s,PASSED
"otp4 = getText(findTestObject(""Object Repository/Page_Verify your account - Temp Mail/otp4""))",Chrome 108.0.0.0,,,2022-12-03 16:14:01,2022-12-03 16:14:03,2.474s,PASSED
otp = otp1 + otp2 + otp3 + otp4,Chrome 108.0.0.0,,,2022-12-03 16:14:03,2022-12-03 16:14:03,0.000s,PASSED
switchToWindowIndex(0),Chrome 108.0.0.0,,,2022-12-03 16:14:03,2022-12-03 16:14:03,0.022s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign-up to get the Formi dashboard/otp enter""), otp)",Chrome 108.0.0.0,,,2022-12-03 16:14:03,2022-12-03 16:14:08,5.089s,PASSED
"click(findTestObject(""Object Repository/Page_Sign-up to get the Formi dashboard/button_Verify (1)""))",Chrome 108.0.0.0,,,2022-12-03 16:14:08,2022-12-03 16:14:11,2.605s,PASSED
,,,,,,,
Test Cases/Organizer/OTP - REFER/Valid OTP - Wrong Number,Chrome 108.0.0.0,,,2022-12-03 16:14:11,2022-12-03 16:14:38,27.248s,FAILED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-03 16:14:11,2022-12-03 16:14:13,1.688s,PASSED
"navigateToUrl(""https://organizer-testing.formi.co.in/"")",Chrome 108.0.0.0,,,2022-12-03 16:14:13,2022-12-03 16:14:14,1.101s,PASSED
currentWindow = getWindowIndex(),Chrome 108.0.0.0,,,2022-12-03 16:14:14,2022-12-03 16:14:14,0.006s,PASSED
