Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Page_Create your Google Account/input_Create your Google Account_lastName (1)""), ""testname"")",Chrome 107.0.0.0,GSU-008,,2022-12-01 22:50:33,2022-12-01 22:50:34,0.638s,PASSED
,,,,,,,
Test Cases/GSU/User name,Chrome 107.0.0.0,,,2022-12-01 22:50:34,2022-12-01 22:50:45,11.343s,PASSED
"openBrowser("""")",Chrome 107.0.0.0,,,2022-12-01 22:50:34,2022-12-01 22:50:36,1.851s,PASSED
"navigateToUrl(""https://organizer.formi.co.in/"")",Chrome 107.0.0.0,,,2022-12-01 22:50:36,2022-12-01 22:50:36,0.344s,PASSED
"click(findTestObject(""Object Repository/Page_Weve got your back/span_Login (9)""))",Chrome 107.0.0.0,,,2022-12-01 22:50:36,2022-12-01 22:50:37,1.068s,PASSED
"click(findTestObject(""Object Repository/Page_Weve got your back/span_Sign in with Google (3)""))",Chrome 107.0.0.0,,,2022-12-01 22:50:37,2022-12-01 22:50:40,3.087s,PASSED
switchToWindowIndex(1),Chrome 107.0.0.0,,,2022-12-01 22:50:40,2022-12-01 22:50:40,0.017s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in - Google Accounts/span_Create account (5)""))",Chrome 107.0.0.0,,,2022-12-01 22:50:40,2022-12-01 22:50:42,1.687s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in - Google Accounts/li_For my personal use""))",Chrome 107.0.0.0,,,2022-12-01 22:50:42,2022-12-01 22:50:43,1.180s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Create your Google Account/input_Create your Google Account_Username""))",Chrome 107.0.0.0,GSU-009,,2022-12-01 22:50:43,2022-12-01 22:50:44,0.871s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Create your Google Account/input_Create your Google Account_Username""))",Chrome 107.0.0.0,GSU-009,,2022-12-01 22:50:44,2022-12-01 22:50:44,0.309s,PASSED
"setText(findTestObject(""Object Repository/Page_Create your Google Account/input_Create your Google Account_Username""), ""asaiai"")",Chrome 107.0.0.0,"GSU-010
",,2022-12-01 22:50:44,2022-12-01 22:50:45,0.757s,PASSED
,,,,,,,
Test Cases/GSU/Password,Chrome 107.0.0.0,,,2022-12-01 22:50:45,2022-12-01 22:50:56,11.238s,PASSED
"openBrowser("""")",Chrome 107.0.0.0,,,2022-12-01 22:50:45,2022-12-01 22:50:47,1.863s,PASSED
"navigateToUrl(""https://organizer.formi.co.in/"")",Chrome 107.0.0.0,,,2022-12-01 22:50:47,2022-12-01 22:50:47,0.332s,PASSED
"click(findTestObject(""Object Repository/Page_Weve got your back/span_Login (6)""))",Chrome 107.0.0.0,,,2022-12-01 22:50:47,2022-12-01 22:50:48,0.975s,PASSED
"click(findTestObject(""Object Repository/Page_Weve got your back/span_Sign in with Google (2)""))",Chrome 107.0.0.0,,,2022-12-01 22:50:48,2022-12-01 22:50:51,3.182s,PASSED
switchToWindowIndex(1),Chrome 107.0.0.0,,,2022-12-01 22:50:51,2022-12-01 22:50:52,0.024s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in - Google Accounts/span_Create account (6)""))",Chrome 107.0.0.0,,,2022-12-01 22:50:52,2022-12-01 22:50:53,1.728s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in - Google Accounts/span_For my personal use (5)""))",Chrome 107.0.0.0,,,2022-12-01 22:50:53,2022-12-01 22:50:54,0.960s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Create your Google Account/input_Use my current email address instead_Passwd""), 0)",Chrome 107.0.0.0,GSU-011,,2022-12-01 22:50:54,2022-12-01 22:50:55,0.857s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Create your Google Account/input_Use my current email address instead_Passwd""))",Chrome 107.0.0.0,GSU-011,,2022-12-01 22:50:55,2022-12-01 22:50:55,0.308s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Create your Google Account/input_Use my current email address instead_Passwd""))",Chrome 107.0.0.0,"GSU-012
",,2022-12-01 22:50:55,2022-12-01 22:50:56,0.304s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Create your Google Account/input_Use my current email address instead_Passwd""), ""BWgEo7IagHzWhi9YvsMrEQ=="")",Chrome 107.0.0.0,"GSU-012
",,2022-12-01 22:50:56,2022-12-01 22:50:56,0.501s,PASSED
,,,,,,,
Test Cases/GSU/Confirm Password,Chrome 107.0.0.0,,,2022-12-01 22:50:56,2022-12-01 22:51:07,10.628s,PASSED
"openBrowser("""")",Chrome 107.0.0.0,,,2022-12-01 22:50:56,2022-12-01 22:50:58,1.838s,PASSED
"navigateToUrl(""https://organizer.formi.co.in/"")",Chrome 107.0.0.0,,,2022-12-01 22:50:58,2022-12-01 22:50:59,0.333s,PASSED
"click(findTestObject(""Object Repository/Page_Weve got your back/span_Login (2)""))",Chrome 107.0.0.0,,,2022-12-01 22:50:59,2022-12-01 22:51:00,0.999s,PASSED
"click(findTestObject(""Object Repository/Page_Weve got your back/div_Sign in with GoogleSign in with Google (1)""))",Chrome 107.0.0.0,,,2022-12-01 22:51:00,2022-12-01 22:51:02,2.873s,PASSED
switchToWindowIndex(1),Chrome 107.0.0.0,,,2022-12-01 22:51:02,2022-12-01 22:51:02,0.016s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in - Google Accounts/span_Create account (2)""))",Chrome 107.0.0.0,,,2022-12-01 22:51:02,2022-12-01 22:51:04,1.710s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in - Google Accounts/span_For my personal use (2)""))",Chrome 107.0.0.0,,,2022-12-01 22:51:04,2022-12-01 22:51:05,1.013s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Create your Google Account/input_Use my current email address instead__f01a3e""), ""cvW8qx4B2o3F4VwP/kNsqA=="")",Chrome 107.0.0.0,,,2022-12-01 22:51:05,2022-12-01 22:51:06,0.960s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Create your Google Account/input_Use my current email address instead__f01a3e""))",Chrome 107.0.0.0,,,2022-12-01 22:51:06,2022-12-01 22:51:07,0.427s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Create your Google Account/input_Use my current email address instead__f01a3e""))",Chrome 107.0.0.0,,,2022-12-01 22:51:07,2022-12-01 22:51:07,0.297s,PASSED
,,,,,,,
Test Cases/GSU/View Password,Chrome 107.0.0.0,,,2022-12-01 22:51:07,2022-12-01 22:51:27,19.928s,PASSED
"openBrowser("""")",Chrome 107.0.0.0,,,2022-12-01 22:51:07,2022-12-01 22:51:09,1.862s,PASSED
"navigateToUrl(""https://organizer.formi.co.in/"")",Chrome 107.0.0.0,,,2022-12-01 22:51:09,2022-12-01 22:51:09,0.363s,PASSED
"click(findTestObject(""Object Repository/Page_Weve got your back/span_Login (9)""))",Chrome 107.0.0.0,,,2022-12-01 22:51:09,2022-12-01 22:51:10,0.969s,PASSED
"click(findTestObject(""Object Repository/Page_Weve got your back/span_Sign in with Google (3)""))",Chrome 107.0.0.0,,,2022-12-01 22:51:10,2022-12-01 22:51:13,2.742s,PASSED
switchToWindowIndex(1),Chrome 107.0.0.0,,,2022-12-01 22:51:13,2022-12-01 22:51:13,0.015s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in - Google Accounts/span_Create account""))",Chrome 107.0.0.0,,,2022-12-01 22:51:13,2022-12-01 22:51:15,1.755s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in - Google Accounts/span_For my personal use""))",Chrome 107.0.0.0,,,2022-12-01 22:51:15,2022-12-01 22:51:16,1.232s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Create your Google Account/input_Use my current email address instead_Passwd""), ""cvW8qx4B2o3F4VwP/kNsqA=="")",Chrome 107.0.0.0,,,2022-12-01 22:51:16,2022-12-01 22:51:17,0.946s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Create your Google Account/input_Use my current email address instead__f01a3e""), ""cvW8qx4B2o3F4VwP/kNsqA=="")",Chrome 107.0.0.0,,,2022-12-01 22:51:17,2022-12-01 22:51:17,0.486s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Create your Google Account/input_Use 8 or more characters with a mix o_b60f5c""), 3)",Chrome 107.0.0.0,,,2022-12-01 22:51:17,2022-12-01 22:51:20,2.955s,PASSED
delay(3),Chrome 107.0.0.0,,,2022-12-01 22:51:20,2022-12-01 22:51:23,3.021s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Create your Google Account/div_Show password""))",Chrome 107.0.0.0,,,2022-12-01 22:51:23,2022-12-01 22:51:24,0.428s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Create your Google Account/div_Show password""))",Chrome 107.0.0.0,,,2022-12-01 22:51:24,2022-12-01 22:51:24,0.408s,PASSED
"click(findTestObject(""Object Repository/Page_Create your Google Account/input_Use 8 or more characters with a mix o_b60f5c""))",Chrome 107.0.0.0,,,2022-12-01 22:51:24,2022-12-01 22:51:27,2.582s,PASSED
,,,,,,,
