Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Google Sign up,Chrome 107.0.0.0,,,2022-12-01 20:48:38,2022-12-01 20:50:59,2m - 20.870s,PASSED
,,,,,,,
Test Cases/GSU/Confirm Password,Chrome 107.0.0.0,,,2022-12-01 20:48:38,2022-12-01 20:48:49,10.788s,PASSED
"openBrowser("""")",Chrome 107.0.0.0,,,2022-12-01 20:48:38,2022-12-01 20:48:40,1.778s,PASSED
"navigateToUrl(""https://organizer.formi.co.in/"")",Chrome 107.0.0.0,,,2022-12-01 20:48:40,2022-12-01 20:48:41,1.127s,PASSED
"click(findTestObject(""Object Repository/Page_Weve got your back/span_Login (2)""))",Chrome 107.0.0.0,,,2022-12-01 20:48:41,2022-12-01 20:48:42,1.103s,PASSED
"click(findTestObject(""Object Repository/Page_Weve got your back/div_Sign in with GoogleSign in with Google (1)""))",Chrome 107.0.0.0,,,2022-12-01 20:48:42,2022-12-01 20:48:45,2.645s,PASSED
switchToWindowIndex(1),Chrome 107.0.0.0,,,2022-12-01 20:48:45,2022-12-01 20:48:45,0.031s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in - Google Accounts/span_Create account (2)""))",Chrome 107.0.0.0,,,2022-12-01 20:48:45,2022-12-01 20:48:46,1.398s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in - Google Accounts/span_For my personal use (2)""))",Chrome 107.0.0.0,,,2022-12-01 20:48:46,2022-12-01 20:48:47,0.841s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Create your Google Account/input_Use my current email address instead__f01a3e""), ""cvW8qx4B2o3F4VwP/kNsqA=="")",Chrome 107.0.0.0,,,2022-12-01 20:48:47,2022-12-01 20:48:48,0.930s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Create your Google Account/input_Use my current email address instead__f01a3e""))",Chrome 107.0.0.0,,,2022-12-01 20:48:48,2022-12-01 20:48:49,0.437s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Create your Google Account/input_Use my current email address instead__f01a3e""))",Chrome 107.0.0.0,,,2022-12-01 20:48:49,2022-12-01 20:48:49,0.292s,PASSED
,,,,,,,
Test Cases/GSU/Create Account,Chrome 107.0.0.0,,,2022-12-01 20:48:49,2022-12-01 20:48:59,9.692s,PASSED
"openBrowser("""")",Chrome 107.0.0.0,,,2022-12-01 20:48:49,2022-12-01 20:48:51,1.922s,PASSED
"navigateToUrl(""https://organizer.formi.co.in/"")",Chrome 107.0.0.0,,,2022-12-01 20:48:51,2022-12-01 20:48:51,0.511s,PASSED
"click(findTestObject(""Object Repository/Page_Weve got your back/button_Login""))",Chrome 107.0.0.0,,,2022-12-01 20:48:51,2022-12-01 20:48:52,0.843s,PASSED
"click(findTestObject(""Object Repository/Page_Weve got your back/div_Sign in with GoogleSign in with Google""))",Chrome 107.0.0.0,,,2022-12-01 20:48:52,2022-12-01 20:48:55,2.669s,PASSED
switchToWindowIndex(1),Chrome 107.0.0.0,,,2022-12-01 20:48:55,2022-12-01 20:48:55,0.017s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Sign in - Google Accounts/span_Create account (1)""), 0)",Chrome 107.0.0.0,GSU-001,,2022-12-01 20:48:55,2022-12-01 20:48:56,1.502s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Sign in - Google Accounts/span_Create account (1)""))",Chrome 107.0.0.0,"GSU-001
",,2022-12-01 20:48:56,2022-12-01 20:48:57,0.419s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Sign in - Google Accounts/span_Create account (1)""))",Chrome 107.0.0.0,GSU-002,,2022-12-01 20:48:57,2022-12-01 20:48:57,0.404s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in - Google Accounts/span_Create account (1)""))",Chrome 107.0.0.0,,,2022-12-01 20:48:57,2022-12-01 20:48:58,0.437s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in - Google Accounts/span_For my personal use (1)""))",Chrome 107.0.0.0,,,2022-12-01 20:48:58,2022-12-01 20:48:59,0.820s,PASSED
,,,,,,,
Test Cases/GSU/First Name,Chrome 107.0.0.0,,,2022-12-01 20:48:59,2022-12-01 20:49:09,10.877s,PASSED
